,City,verif,lat,lon,mean_7d_precipitation,mean_7d_rain,mean_7d_temp_min,mean_7d_temp_max
0,Mont Saint Michel,"Mont Saint-Michel, Avancée des Bombardes, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.64,-1.51,8.67,7.5,7.89,12.31
1,St Malo,"Saint-Malo, Ille-et-Vilaine, Bretagne, France métropolitaine, 35400, France",48.65,-2.03,7.29,6.09,7.71,12.17
2,Bayeux,"Bayeux, Calvados, Normandie, France métropolitaine, 14400, France",49.28,-0.7,5.57,5.24,7.6,12.26
3,Le Havre,"Le Havre, Seine-Maritime, Normandie, France métropolitaine, France",49.49,0.11,6.24,5.4,7.83,11.57
4,Rouen,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",49.44,1.09,7.49,6.86,6.81,10.94
5,Paris,"Paris, Île-de-France, France métropolitaine, France",48.86,2.32,7.63,6.84,6.56,10.97
6,Amiens,"Amiens, Somme, Hauts-de-France, France métropolitaine, 80090, France",49.89,2.3,5.06,4.26,6.03,10.19
7,Lille,"Lille, Nord, Hauts-de-France, France métropolitaine, France",50.64,3.06,5.51,4.87,5.47,9.83
8,Strasbourg,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France",48.58,7.75,1.99,1.56,2.43,7.61
9,Chateau du Haut Koenigsbourg,"Château du Haut-Kœnigsbourg, Chemin fermé suite  à travaux, Château du Haut-Kœnigsbourg, Orschwiller, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67600, France",48.25,7.34,2.96,2.74,1.67,8.43
10,Colmar,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France",48.08,7.36,1.57,1.03,2.04,8.66
11,Eguisheim,"Eguisheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68420, France",48.04,7.31,1.83,1.67,2.66,9.4
12,Besancon,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France",47.24,6.02,3.44,3.14,5.29,11.39
13,Dijon,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",47.32,5.04,2.44,2.01,3.87,9.99
14,Annecy,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",45.9,6.13,3.96,3.61,3.97,10.1
15,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France",45.19,5.74,1.97,1.71,5.76,13.26
16,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",45.76,4.83,1.2,0.74,5.39,11.94
17,Gorges du Verdon,"Gorges du Verdon, Route des Crêtes, Les Ferrailles, La Palud-sur-Verdon, Castellane, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04120, France",43.75,6.33,0.86,0.81,4.03,9.94
18,Bormes les Mimosas,"Bormes-les-Mimosas, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83230, France",43.15,6.34,0.69,0.09,8.34,14.3
19,Cassis,"Cassis, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13260, France",43.21,5.54,0.33,0.26,11.27,15.01
20,Marseille,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13000, France",43.3,5.37,0.31,0.34,9.7,14.94
21,Aix en Provence,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.53,5.45,0.77,0.51,7.1,13.63
22,Avignon,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.95,4.81,2.0,1.2,6.53,13.7
23,Uzes,"Uzès, Nîmes, Gard, Occitanie, France métropolitaine, 30700, France",44.01,4.42,1.0,0.6,5.69,13.29
24,Nimes,"Nîmes, Gard, Occitanie, France métropolitaine, France",43.84,4.36,0.61,0.34,6.43,13.8
25,Aigues Mortes,"Aigues-Mortes, Nîmes, Gard, Occitanie, France métropolitaine, 30220, France",43.57,4.19,0.56,0.17,8.31,14.74
26,Saintes Maries de la mer,"Saintes-Maries-de-la-Mer, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13460, France",43.45,4.43,0.54,0.34,8.71,14.04
27,Collioure,"Collioure, Céret, Pyrénées-Orientales, Occitanie, France métropolitaine, 66190, France",42.53,3.08,0.07,0.0,10.5,15.79
28,Carcassonne,"Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France",43.21,2.35,0.04,0.26,8.49,14.54
29,Ariege,"Ariège, Occitanie, France métropolitaine, France",42.95,1.41,0.33,1.03,7.54,14.1
30,Toulouse,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",43.6,1.44,0.94,0.87,8.41,15.14
31,Montauban,"Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82000, France",44.02,1.35,1.3,1.13,7.04,14.74
32,Biarritz,"Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France",43.47,-1.55,2.93,1.61,11.06,16.76
33,Bayonne,"Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64100, France",43.49,-1.47,2.93,1.61,10.57,17.2
34,La Rochelle,"La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France",46.16,-1.15,5.69,5.7,8.56,11.99
