,index,time,precipitation_sum,rain_sum,temperature_2m_min,temperature_2m_max,city,lat,lon
0,0,2022-12-18,14.8,14.7,-2.8,8.7,Mont Saint Michel,48.64,-1.51
1,1,2022-12-19,4.5,3.2,8.5,12.1,Mont Saint Michel,48.64,-1.51
2,2,2022-12-20,14.1,12.4,9.2,12.8,Mont Saint Michel,48.64,-1.51
3,3,2022-12-21,1.7,1.4,5.5,10.9,Mont Saint Michel,48.64,-1.51
4,4,2022-12-22,7.0,5.6,10.8,13.2,Mont Saint Michel,48.64,-1.51
5,5,2022-12-23,16.2,13.4,12.6,15.4,Mont Saint Michel,48.64,-1.51
6,6,2022-12-24,2.4,1.8,11.4,13.1,Mont Saint Michel,48.64,-1.51
7,0,2022-12-18,15.2,11.5,-1.4,10.1,St Malo,48.65,-2.03
8,1,2022-12-19,3.6,2.6,7.3,10.8,St Malo,48.65,-2.03
9,2,2022-12-20,10.7,12.9,7.4,11.1,St Malo,48.65,-2.03
10,3,2022-12-21,4.0,1.8,6.3,11.0,St Malo,48.65,-2.03
11,4,2022-12-22,5.0,3.2,10.8,13.7,St Malo,48.65,-2.03
12,5,2022-12-23,11.2,9.6,12.6,15.5,St Malo,48.65,-2.03
13,6,2022-12-24,1.3,1.0,11.0,13.0,St Malo,48.65,-2.03
14,0,2022-12-18,11.1,11.1,-3.2,8.7,Bayeux,49.28,-0.7
15,1,2022-12-19,3.0,2.9,8.9,13.5,Bayeux,49.28,-0.7
16,2,2022-12-20,9.3,9.2,8.4,12.9,Bayeux,49.28,-0.7
17,3,2022-12-21,0.8,0.8,6.0,9.9,Bayeux,49.28,-0.7
18,4,2022-12-22,2.9,2.8,10.1,13.0,Bayeux,49.28,-0.7
19,5,2022-12-23,11.0,9.0,12.1,14.9,Bayeux,49.28,-0.7
20,6,2022-12-24,0.9,0.9,10.9,12.9,Bayeux,49.28,-0.7
21,0,2022-12-18,18.2,18.2,-3.4,7.7,Le Havre,49.49,0.11
22,1,2022-12-19,2.2,2.2,8.1,11.8,Le Havre,49.49,0.11
23,2,2022-12-20,10.0,9.2,9.5,12.2,Le Havre,49.49,0.11
24,3,2022-12-21,0.9,0.8,7.8,10.0,Le Havre,49.49,0.11
25,4,2022-12-22,4.7,3.3,9.5,12.1,Le Havre,49.49,0.11
26,5,2022-12-23,6.6,3.6,11.9,14.7,Le Havre,49.49,0.11
27,6,2022-12-24,1.1,0.5,11.4,12.5,Le Havre,49.49,0.11
28,0,2022-12-18,11.8,11.8,-4.0,4.7,Rouen,49.44,1.09
29,1,2022-12-19,3.7,3.4,5.1,10.4,Rouen,49.44,1.09
30,2,2022-12-20,17.3,15.6,9.2,11.3,Rouen,49.44,1.09
